,0.1-1.0,2.0-4.0,4.0-14.0,4.0-8.0,8.0-14.0
2019-11-03 02:00:00.890,1.37139925496e-06,1.09551386402e-10,5.89909287301e-11,5.46982521623e-11,2.17707018172e-11
2019-11-03 02:15:00.890,1.37763030205e-06,1.0825552154e-10,5.76006457761e-11,5.36344183194e-11,2.06517196675e-11
2019-11-03 02:30:00.890,1.33513247347e-06,1.07202699603e-10,5.50070250493e-11,5.123605729e-11,1.9647287058e-11
2019-11-03 02:45:00.890,1.33399447179e-06,1.06350788745e-10,5.34151512715e-11,4.97481119901e-11,1.90994611391e-11
2019-11-03 03:00:00.890,1.38449874085e-06,1.05464418728e-10,5.11973018006e-11,4.7331775346e-11,1.91745523789e-11
2019-11-03 03:15:00.890,1.28581122511e-06,1.03967204154e-10,4.96042516703e-11,4.57222234668e-11,1.88624544284e-11
2019-11-03 03:30:00.890,1.27018847341e-06,1.02399377838e-10,4.7949050803e-11,4.40105977502e-11,1.86294899693e-11
2019-11-03 03:45:00.890,1.22120069305e-06,1.01815217592e-10,4.62071840179e-11,4.2086889353e-11,1.86406922332e-11
2019-11-03 04:00:00.890,1.32335143252e-06,1.02891627473e-10,4.52535364756e-11,4.08894595553e-11,1.89828526299e-11
2019-11-03 04:15:00.890,1.36730005044e-06,1.01621042009e-10,4.48456942644e-11,4.07134310564e-11,1.84164871863e-11
2019-11-03 04:30:00.890,1.32203283234e-06,1.03221343842e-10,4.48967956146e-11,4.07021479852e-11,1.86008125298e-11
2019-11-03 04:45:00.890,1.33450464866e-06,1.07570097301e-10,4.67197515467e-11,4.03407399187e-11,2.32370845204e-11
2019-11-03 05:00:00.890,1.35256784752e-06,1.08511419201e-10,4.38195329492e-11,3.92948038888e-11,1.90427730878e-11
