,4.0-14.0,5.0-20.0
2019-12-11 12:59:57.129999,8.36134843752e-09,7.11955258089e-09
2019-12-11 13:14:57.129999,8.56272064284e-09,7.35808695707e-09
2019-12-11 13:29:57.129999,9.32466629004e-09,7.67597319158e-09
2019-12-11 13:44:57.129999,9.28660259217e-09,7.884858715e-09
2019-12-11 13:59:57.129999,8.85063330689e-09,7.30776754872e-09
2019-12-11 14:14:57.129999,8.50221270066e-09,6.92532191303e-09
2019-12-11 14:29:57.129999,7.64059450665e-09,6.31435610599e-09
2019-12-11 14:44:57.129999,7.33492318223e-09,6.06619992071e-09
2019-12-11 14:59:57.129999,8.60448684302e-09,7.47908678907e-09
2019-12-11 15:14:57.129999,7.69319770249e-09,6.63838455398e-09
2019-12-11 15:29:57.129999,7.2355312654e-09,6.12793189788e-09
2019-12-11 15:44:57.129999,8.3781885575e-09,6.67479126828e-09
2019-12-11 15:59:57.129999,7.77665764613e-09,6.45709085872e-09
2019-12-11 16:14:57.129999,7.28133560772e-09,6.20230311845e-09
2019-12-11 16:29:57.129999,7.8058710785e-09,6.80487327099e-09
2019-12-11 16:44:57.129999,8.21007434214e-09,6.52448480601e-09
2019-12-11 16:59:57.129999,7.42259312025e-09,5.76509525608e-09
2019-12-11 17:14:57.129999,5.58778223032e-09,4.54024535645e-09
2019-12-11 17:29:57.129999,6.24440086666e-09,5.30332540312e-09
2019-12-11 17:44:57.129999,6.0773360147e-09,5.09090018956e-09
2019-12-11 17:59:57.129999,5.38520357909e-09,4.45120206037e-09
2019-12-11 18:14:57.129999,4.75946770288e-09,3.89131573301e-09
2019-12-11 18:29:57.129999,5.01080075313e-09,4.125662361e-09
2019-12-11 18:44:57.129999,5.0876871832e-09,4.24317390644e-09
2019-12-11 18:59:57.129999,4.10940217451e-09,3.22482677649e-09
2019-12-11 19:14:57.129999,3.86551661472e-09,3.14346439906e-09
2019-12-11 19:29:57.129999,3.56329438734e-09,2.86237945973e-09
2019-12-11 19:44:57.129999,3.60890293354e-09,2.89838913906e-09
2019-12-11 19:59:57.129999,3.62418491058e-09,2.95456395706e-09
2019-12-11 20:14:57.129999,3.52559073763e-09,2.91526865203e-09
2019-12-11 20:29:57.129999,2.96108598278e-09,2.35895457045e-09
2019-12-11 20:44:57.129999,2.57768454736e-09,2.06986823297e-09
2019-12-11 20:59:57.129999,2.38100670909e-09,1.91020385531e-09
2019-12-11 21:14:57.129999,2.9459285893e-09,2.32511204495e-09
2019-12-11 21:29:57.129999,3.52538539576e-09,2.93171190653e-09
2019-12-11 21:44:57.129999,3.16627946694e-09,2.65596405998e-09
2019-12-11 21:59:57.129999,2.44689486354e-09,1.92235513171e-09
2019-12-11 22:14:57.129999,2.29514099375e-09,1.74236087687e-09
